human,humanLabel,gender,genderLabel,birthdate,deathdate,nationality,nationalityLabel,invReltype,invReltypeLabel,relative
http://www.wikidata.org/entity/Q626819,공옥진,http://www.wikidata.org/entity/Q6581072,여성,1931-08-14T00:00:00Z,2012-07-09T00:00:00Z,http://www.wikidata.org/entity/Q884,대한민국,http://www.wikidata.org/entity/Q9235758,할머니,http://www.wikidata.org/entity/Q483842
http://www.wikidata.org/entity/Q42418693,Kwak U-ji,http://www.wikidata.org/entity/Q6581097,남성,1917-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q18097,한국,http://www.wikidata.org/entity/Q9238344,할아버지,http://www.wikidata.org/entity/Q42418787
